source_site,source_product_id,name,sku,permalink,price,regular_price,sale_price,on_sale,category_slugs,category_names,size_inferred,gsm_inferred,in_stock,image_primary,short_description_text
banhat,4131,Giấy Supreme A3 70 gsm,GINSUPREMEA370,https://vanphongphambanhat.com.vn/san-pham/giay-supreme-a3-70gsm/,137000,145000,137000,True,giay-in-van-phong|giay-a3|giay-in-photo,GIẤY IN VĂN PHÒNG|Giấy A3|Giấy In - Photo,A3,70,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-in-supreme-a3-70gsm.jpg,"Giấy in A3 Supreme 70gsm cao cấp nhập khẩu Thái Lan
Kích thước: Khổ A3 (297 x 420 mm)
Định lượng: 70gsm
Số lượng: 500 tờ
Thương hiệu: Supreme
Xuất xứ: Thái Lan
Quy cách đóng gói: 500 tờ /ream, 5 ream /thùng
Ứng dụng: in văn bản, tài liệu, hợp đồng, photocopy
Trọng lượng: Khoảng 4kg /ream, 20kg /thùng
Nếu khách hàng KHÔNG lấy hóa đơn, Giấy A4 giảm thêm 2.000, Giấy A3 giảm 5.000 trên đơn giá có VAT
Thị trường biến động nên Giá bán có thể thay đổi theo thời giá.
Quý khách vui lòng Liên hệ để được B"
banhat,4133,Giấy A4 Quality 70gsm,GINQUALITYA470,https://vanphongphambanhat.com.vn/san-pham/giay-a4-quality-70gsm/,61000,65000,61000,True,giay-in-van-phong|giay-a4|giay-in-photo,GIẤY IN VĂN PHÒNG|Giấy A4|Giấy In - Photo,A4,70,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-in-quality-A4-70gsm-2.jpg,"Giấy in A4 70gsm Quality
dùng cho tất cả các loại máy in đang có hiện nay, cũng như máy fax laser, máy photocopy…
Kích thước: Khổ A4 (210 x 297mm)
Định lượng: 70gsm
Số lượng: 500 tờ
Xuất xứ: Thái Lan
Quy cách đóng gói: 500 tờ /ream, 5 ream /thùng
Ứng dụng: in văn bản, tài liệu, hợp đồng, photocopy
Trọng lượng: Khoản 2kg /ream, 10kg /thùng
Nếu khách hàng KHÔNG lấy hóa đơn, Giấy A4 giảm thêm 2.000, Giấy A3 giảm 5.000 trên đơn giá có VAT
Thị trường biến động nên Giá bán sẽ cập nhật theo thời giá.
Q"
banhat,4186,Giấy note please sign,NMTPLEASESIGN,https://vanphongphambanhat.com.vn/san-pham/giay-note-please-sign/,23000,25000,23000,True,giay-in-van-phong|giay-note-phan-trang,GIẤY IN VĂN PHÒNG|Giấy Note - Phân Trang,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-note-please-sign.jpg,"Nhằm giúp cho sản phẩm
giấy note please sign
được sử dụng phát huy được hiệu quả, chất lượng cao người dùng trong quá trình sử dụng cần chú ý đến việc bảo quản sản phẩm."
banhat,4188,Giấy Note STICKIII 3X3,NOTESTICKII3X3,https://vanphongphambanhat.com.vn/san-pham/giay-note-stickiii-3x3/,6500,8000,6500,True,giay-in-van-phong|giay-note-phan-trang,GIẤY IN VĂN PHÒNG|Giấy Note - Phân Trang,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-note-STICKIII-3X3-vpp-ba-nhat.jpg,"Sản phẩm
giấy Note STICKIII 3X3
được làm nên từ chất liệu bột giấy tốt không có thành phần độc hại, đảm bảo an toàn đối với sức khỏe người tiêu dùng. Cùng với đó, được sản xuất trên dây chuyền công nghệ hiện đại, tiên tiến mang đến cho người dùng mẫu giấy có thiết kế đẹp mắt, độc đáo."
banhat,4190,Giấy Note 5 màu nhựa Pronoti,N5MNPROTINOL45502,https://vanphongphambanhat.com.vn/san-pham/giay-note-5-mau-nhua-pronoti/,12200,14000,12200,True,giay-in-van-phong|giay-note-phan-trang,GIẤY IN VĂN PHÒNG|Giấy Note - Phân Trang,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-note-nhua-pronoti.jpg,"Sản phẩm
giấy Note 5 màu nhựa Pronoti
có nguồn gốc xuất xứ từ Đài Loan song được công ty văn phòng phẩm Ba Nhất  phân phối và cung cấp, bán sản phẩm đến với người tiêu dùng khi có nhu cầu sử dụng sản phẩm."
banhat,4202,Giấy Excel A5 70 gsm,GINEXCELA570,https://vanphongphambanhat.com.vn/san-pham/giay-excel-a5-70/,27500,31000,27500,True,giay-in-photo|giay-a5|giay-in-van-phong,Giấy In - Photo|Giấy A5|GIẤY IN VĂN PHÒNG,A5,70,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-in-excel-gia-re-1.png,"Giấy in Excel A5 70 gsm
được nhập khẩu từ Indo /Thái và đóng gói tại Việt Nam với chất lượng tốt đáp ứng mọi nhu cầu in ấn.
Kích thước: Khổ A5 (148 x 210 mm)
Định lượng: 70gsm
Xuất xứ: Indonesia / Thái Lan
Quy cách đóng gói: 10 ream /thùng
Ứng dụng: in văn bản, tài liệu, hợp đồng, photocopy
Trọng lượng: Khoản 1kg /ream, 10kg /thùng
Nếu khách hàng KHÔNG lấy hóa đơn, Giấy A4 giảm thêm 2.000, Giấy A3 giảm 5.000 trên đơn giá có VAT"
banhat,4204,Giấy Fax nhiệt Mitsubishi,GIAYFAXNHIET210,https://vanphongphambanhat.com.vn/san-pham/giay-fax-nhiet-mitsubishi/,22000,25000,22000,True,giay-in-nhiet|giay-in-van-phong,Giấy In Nhiệt|GIẤY IN VĂN PHÒNG,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-fax-nhiet-sunbird-mitsubishi-vpp-ba-nhat.jpg,"Giấy Fax Nhiệt Mitsubishi là sản phẩm cao cấp đến từ nhật bản, cho nên dể dàng tạo ra những bản in chất lượng nhất. Công Ty Ba Nhất Chuyên Cung Cấp Giấy Fax Nhiệt Dành Cho Văn Phòng."
banhat,5211,Giấy A4 Excel 70 gsm,GINEXCLA470,https://vanphongphambanhat.com.vn/san-pham/giay-a4-excel-70-gsm/,52000,57000,52000,True,giay-in-photo|giay-a4|giay-in-van-phong,Giấy In - Photo|Giấy A4|GIẤY IN VĂN PHÒNG,A4,70,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/11/giay-in-excel-a4-gia-re.png,"Giấy A4 EXCEL 70gsm
giá rẻ là loại Giấy In nhập khẩu và được đóng gói tại việt nam với chất lượng tốt.
Kích thước: Khổ A4 (210 x 297mm)
Định lượng: 70gsm
Xuất xứ: Indonesia / Thái Lan
Quy cách đóng gói: 5 ream /thùng
Ứng dụng: in văn bản, tài liệu, hợp đồng, photocopy
Trọng lượng: Khoản 2kg /ream, 10kg /thùng
Nếu khách hàng KHÔNG lấy hóa đơn, Giấy A4 giảm thêm 2.000, Giấy A3 giảm 5.000 trên đơn giá có VAT
Thị trường biến động nên Giá bán sẽ cập nhật theo thời giá.
Quý khách vui lòng Liên hệ để đ"
banhat,5215,Giấy Excel A3 70 gsm,GINEXCELA370,https://vanphongphambanhat.com.vn/san-pham/giay-excel-a3-70gsm/,116000,128000,116000,True,giay-in-photo|giay-a3|giay-in-van-phong,Giấy In - Photo|Giấy A3|GIẤY IN VĂN PHÒNG,A3,70,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/11/giay-in-excel-a3-gia-re.png,"Giấy in giá rẻ Excel A3 70 gsm
là giấy in của Indo / Thái và được đóng gói cẩn thận tại việt nam.
Kích thước: Khổ A3 (297 x 420 mm)
Định lượng: 70gsm
Xuất xứ: Indonesia / Thái Lan
Quy cách đóng gói: 5 ream /thùng
Ứng dụng: in văn bản, tài liệu, hợp đồng, photocopy
Trọng lượng: Khoản 4kg /ream, 20kg /thùng
Nếu khách hàng KHÔNG lấy hóa đơn, Giấy A4 giảm thêm 2.000, Giấy A3 giảm 5.000 trên đơn giá có VAT
Thị trường biến động nên Giá bán có thể thay đổi theo thời giá.
Quý khách vui lòng Liên hệ để đ"
banhat,5227,Giấy Excel A5 80 gsm,GINEXCELA580,https://vanphongphambanhat.com.vn/san-pham/giay-excel-a5-80/,33500,35000,33500,True,giay-in-photo|giay-a5|giay-in-van-phong,Giấy In - Photo|Giấy A5|GIẤY IN VĂN PHÒNG,A5,80,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/10/giay-in-excel-gia-re-1.png,"Giấy in Excel A5 80 gsm
được nhập khẩu từ Indo /Thái và đóng gói tại Việt Nam với chất lượng tốt đáp ứng mọi nhu cầu in ấn.
Kích thước: Khổ A5 (148 x 210 mm)
Định lượng: 80gsm
Xuất xứ: Indonesia / Thái Lan
Quy cách đóng gói: 10 ream /thùng
Ứng dụng: in văn bản, tài liệu, hợp đồng, photocopy
Trọng lượng: Khoản 1.2kg /ream, 12kg /thùng
Nếu khách hàng KHÔNG lấy hóa đơn, Giấy A4 giảm thêm 2.000, Giấy A3 giảm 5.000 trên đơn giá có VAT"
